"","Timestep","Channel_Position(A)","Force(pN)"
"1",0,-0.0992313,868.648
"2",100,0.0367436,777.648
"3",200,0.487754,467.765
"4",300,0.860804,212.047
"5",400,1.01782,106.429
"6",500,0.92687,173.093
"7",600,0.599022,404.353
"8",700,0.302003,614.192
"9",800,0.362423,575.687
"10",900,0.655197,375.745
"11",1000,0.89901,209.819
"12",1100,0.913376,203.312
"13",1200,1.00981,139.785
"14",1300,0.997484,151.822
"15",1400,0.874739,240.579
"16",1500,0.82555,278.229
"17",1600,0.670222,389.623
"18",1700,0.769811,323.903
"19",1800,0.841142,277.817
"20",1900,1.02193,155.684
"21",2000,0.97829,189.476
"22",2100,0.66146,413.081
"23",2200,0.558838,487.855
"24",2300,0.588793,470.517
"25",2400,0.758295,356.223
"26",2500,0.907578,255.976
"27",2600,1.02509,177.807
"28",2700,0.86673,291.305
"29",2800,0.778481,356.093
"30",2900,1.00833,199.872
"31",3000,0.988447,217.159
"32",3100,0.793667,355.964
"33",3200,0.667668,446.98
"34",3300,0.744954,396.757
"35",3400,0.834594,337.95
"36",3500,1.09321,161.738
"37",3600,1.26619,45.0262
"38",3700,1.09951,164.311
"39",3800,0.973292,255.48
"40",3900,1.00017,240.279
"41",4000,0.958995,272.361
"42",4100,0.852782,349.631
"43",4200,0.894471,324.14
"44",4300,1.0911,190.995
"45",4400,1.18434,129.689
"46",4500,1.05923,220.088
"47",4600,1.04352,234.479
"48",4700,1.19377,133.562
"49",4800,1.32481,45.9889
"50",4900,1.17424,154.08
"51",5000,0.977491,294.25
"52",5100,0.964373,306.838
"53",5200,1.11816,203.465
"54",5300,1.02227,273.557
"55",5400,0.807812,426.037
"56",5500,0.771219,454.935
"57",5600,1.00609,295.224
"58",5700,1.27709,110.406
"59",5800,1.39502,31.9479
"60",5900,1.44522,0.540994
"61",6000,1.43815,8.92949
"62",6100,1.40416,36.0183
"63",6200,1.33125,90.1464
"64",6300,1.02054,309.498
"65",6400,0.965709,351.071
"66",6500,0.897038,402.257
"67",6600,1.16369,220.467
"68",6700,1.45866,18.9959
"69",6800,1.52092,-20.7897
"70",6900,1.30108,135.426
"71",7000,1.32363,123.238
"72",7100,1.24135,183.876
"73",7200,1.11723,273.588
"74",7300,1.02952,338.005
"75",7400,1.12498,275.152
"76",7500,1.41565,76.6682
"77",7600,1.64661,-80.3265
"78",7700,1.58487,-33.9532
"79",7800,1.31672,155.829
"80",7900,1.19356,244.875
"81",8000,1.28176,187.063
"82",8100,1.23453,223.352
"83",8200,1.19398,255.005
"84",8300,1.22888,234.229
"85",8400,1.23163,235.787
"86",8500,1.49759,54.4812
"87",8600,1.44996,91.0438
"88",8700,1.43484,105.024
"89",8800,1.56519,17.9344
"90",8900,1.67053,-51.7852
"91",9000,1.73936,-96.128
"92",9100,1.5499,38.9797
"93",9200,1.41155,138.577
"94",9300,1.46654,103.846
"95",9400,1.51047,76.7952
"96",9500,1.56273,43.957
"97",9600,1.70737,-53.0603
"98",9700,1.66569,-20.629
"99",9800,1.69005,-34.0782
"100",9900,1.71692,-49.2759
"101",10000,1.54239,75.4597
"102",10100,1.76131,-73.1709
"103",10200,1.78541,-86.4416
"104",10300,1.68793,-15.2349
"105",10400,1.46593,142.477
"106",10500,1.26106,288.294
"107",10600,1.27498,282.101
"108",10700,1.33718,242.357
"109",10800,1.51582,121.712
"110",10900,1.4799,150.145
"111",11000,1.39426,213.116
"112",11100,1.35483,243.986
"113",11200,1.30149,284.523
"114",11300,1.48148,162.939
"115",11400,1.53634,128.3
"116",11500,1.70052,17.7014
"117",11600,1.58953,98.2898
"118",11700,1.37528,250.624
"119",11800,1.2999,306.474
"120",11900,1.33738,283.908
"121",12000,1.18342,394.35
"122",12100,1.38177,260.012
"123",12200,1.50271,179.46
"124",12300,1.49189,190.446
"125",12400,1.39681,259.981
"126",12500,1.37101,281.384
"127",12600,1.2571,363.997
"128",12700,1.20254,405.382
"129",12800,1.60298,130.635
"130",12900,1.932,-94.4929
"131",13000,2.04811,-171.69
"132",13100,2.01261,-143.552
"133",13200,1.64581,114.772
"134",13300,1.39747,290.791
"135",13400,1.31024,354.872
"136",13500,1.25774,394.823
"137",13600,1.31128,361.097
"138",13700,1.47632,249.905
"139",13800,1.34541,344.334
"140",13900,1.46618,263.894
"141",14000,1.5855,184.463
"142",14100,1.58765,186.45
"143",14200,1.75614,72.8562
"144",14300,1.74482,84.1943
"145",14400,1.58528,198.516
"146",14500,1.50204,259.826
"147",14600,1.52685,246.057
"148",14700,1.5976,200.377
"149",14800,1.63119,180.514
"150",14900,1.71553,125.386
"151",15000,1.74306,109.738
"152",15100,1.68354,154.563
"153",15200,1.69659,148.968
"154",15300,1.688,158.41
"155",15400,1.49143,298.459
"156",15500,1.27568,451.836
"157",15600,1.28934,445.821
"158",15700,1.39505,375.844
"159",15800,1.43281,353.086
"160",15900,1.40391,376.637
"161",16000,1.51064,305.957
"162",16100,1.76135,135.243
"163",16200,1.7028,179.397
"164",16300,1.77547,132.382
"165",16400,1.87107,69.43
"166",16500,1.98172,-3.97231
"167",16600,1.73292,172.366
"168",16700,1.88412,70.7862
"169",16800,1.83355,109.391
"170",16900,1.78081,149.511
"171",17000,1.61668,267.024
"172",17100,1.62032,267.967
"173",17200,1.5994,285.972
"174",17300,1.71861,206.626
"175",17400,1.74485,191.869
"176",17500,1.62031,281.869
"177",17600,1.31832,495.165
"178",17700,1.20209,579.393
"179",17800,1.23476,560.167
"180",17900,1.38196,461.371
"181",18000,1.60466,310.112
"182",18100,1.60273,314.927
"183",18200,1.69407,254.941
"184",18300,1.84163,155.887
"185",18400,1.56656,350.48
"186",18500,1.6477,297.578
"187",18600,1.94682,93.2237
"188",18700,1.94014,101.343
"189",18800,1.91235,124.121
"190",18900,1.9352,111.725
"191",19000,1.83298,186.215
"192",19100,1.98517,83.954
"193",19200,2.12197,-7.62316
"194",19300,1.75036,254.044
"195",19400,1.7633,248.529
"196",19500,1.61236,356.869
"197",19600,1.62997,348.113
"198",19700,2.01701,82.6729
"199",19800,2.1141,18.6876
"200",19900,1.95155,135.104
"201",20000,2.09559,38.4975
"202",20100,2.05547,69.8441
"203",20200,1.79627,253.409
"204",20300,1.86335,210.275
"205",20400,1.79693,259.903
"206",20500,1.73849,303.975
"207",20600,1.72652,315.766
"208",20700,1.79129,274.244
"209",20800,1.90034,201.945
