Timestep,Channel_Position(A),Force(pN)
0,0.27047,236.77
100,0.40706,145.343
200,0.585,25.1848
300,0.76686,-97.692
400,0.82043,-131.443
500,0.8459,-145.663
600,0.70647,-45.3116
700,0.50849,95.7141
800,0.48997,112.059
900,0.33439,223.625
1000,0.29478,254.617
1100,0.31957,240.868
1200,0.3731,207.151
1300,0.46927,143.804
1400,0.28959,272.118
1500,0,476.798
1600,0.26636,295.208
1700,0.36873,227.561
1800,0.59441,74.2341
1900,0.58357,85.2349
2000,0.61146,69.3332
2100,0.58104,93.9422
2200,0.59213,89.7101
2300,0.73753,-7.83472
2400,0.62335,74.9691
2500,0.50571,160.179
2600,0.41033,229.923
2700,0.18358,390.94
2800,0.2917,319.289
2900,0.34297,287.143
3000,0.49754,183.22
3100,0.57448,133.239
3200,0.75172,13.5685
3300,0.80076,-17.0262
3400,1.00893,-158.193
3500,0.92082,-93.4987
3600,0.68251,75.5516
3700,0.57448,154.084
3800,0.49848,210.361
3900,0.63969,115.723
4000,0.97919,-116.682
4100,0.96463,-103.09
4200,1.08257,-181.564
4300,1.01904,-133.948
4400,0.9627,-91.3275
4500,1.08673,-174.031
4600,1.18777,-240.761
4700,1.30196,-316.621
4800,1.2422,-271.626
4900,0.96666,-76.7137
5000,0.84118,13.9447
5100,0.9751,-75.6282
5200,1.04332,-119.551
5300,0.91201,-24.8487
5400,0.81468,46.255
5500,0.87782,5.85989
5600,0.82669,44.856
5700,0.93921,-29.8455
5800,1.10356,-140.565
5900,1.05061,-100.297
6000,0.90518,4.21457
6100,1.0286,-78.0572
6200,0.8386,57.4224
6300,0.78595,97.477
6400,0.74089,132.261
6500,0.84789,61.389
6600,0.93197,6.45083
6700,0.81331,92.3686
6800,0.8234,88.8261
6900,0.68276,190.02
7000,0.67698,197.508
7100,0.83512,91.1089
7200,0.92052,35.2472
7300,0.96984,4.4522
7400,1.0269,-31.7179
7500,1.05925,-50.7195
7600,0.94755,30.3609
7700,0.77583,153.143
7800,0.89519,73.6863
7900,0.83235,120.821
8000,0.82394,130.138
8100,1.02864,-8.60788
8200,1.06234,-28.5518
8300,1.03017,-2.72667
8400,0.84322,130.644
8500,0.83178,142.065
8600,0.97865,43.4953
8700,1.00751,26.9164
